Name,Generocity,LifeExp,Score,GDP,Corruption,Support,Lat,Long,Capital
Afghanistan,-0.102,52.493,2.523,7.695,0.924,0.463,34.5166666666667,69.183333,Kabul
Albania,-0.03,68.999,5.117,9.52,0.901,0.697,41.3166666666667,19.816667,Tirana
Algeria,-0.067,66.005,4.887,9.342,0.752,0.802,36.75,3.05,Algiers
Argentina,-0.182,69.0,5.929,9.962,0.834,0.898,-34.5833333333333,-58.666667,Buenos Aires
Armenia,-0.168,67.055,5.283,9.487,0.629,0.799,40.1666666666667,44.5,Yerevan
Australia,0.159,73.9,7.183,10.796,0.442,0.94,-35.2666666666667,149.133333,Canberra
Austria,0.042,73.3,7.268,10.906,0.481,0.934,48.2,16.366667,Vienna
Azerbaijan,-0.223,65.656,5.171,9.569,0.506,0.836,40.3833333333333,49.866667,Baku
Bahrain,0.089,69.495,6.647,10.669,0.722,0.862,26.2333333333333,50.566667,Manama
Bangladesh,-0.041,64.8,5.025,8.454,0.682,0.693,23.7166666666667,90.4,Dhaka
Belarus,-0.18,66.253,5.534,9.853,0.627,0.91,53.9,27.566667,Minsk
Belgium,-0.153,72.199,6.834,10.823,0.646,0.906,50.8333333333333,4.333333,Brussels
Benin,-0.034,54.713,5.045,8.087,0.661,0.489,6.48333333333333,2.616667,Porto-Novo
Bolivia,-0.077,63.901,5.716,9.046,0.839,0.81,-16.5,-68.15,La Paz
Bosnia and Herzegovina,0.113,68.098,5.813,9.59,0.931,0.87,43.8666666666667,18.416667,Sarajevo
Botswana,-0.246,59.269,3.467,9.782,0.801,0.784,-24.6333333333333,25.9,Gaborone
Brazil,-0.071,66.601,6.33,9.577,0.756,0.882,-15.7833333333333,-47.916667,Brasilia
Bulgaria,-0.096,67.0,5.266,10.016,0.932,0.931,42.6833333333333,23.316667,Sofia
Burkina Faso,-0.009,54.151,4.834,7.678,0.748,0.672,12.3666666666667,-1.516667,Ouagadougou
Myanmar,0.509,59.302,4.426,8.541,0.66,0.779,16.8,96.15,Rangoon
Burundi,-0.024,53.4,3.775,6.635,0.607,0.49,-3.36666666666667,29.35,Bujumbura
Cambodia,0.034,62.0,4.83,8.36,0.843,0.765,11.55,104.916667,Phnom Penh
Cameroon,0.026,53.515,5.142,8.189,0.848,0.71,3.86666666666667,11.516667,Yaounde
Canada,0.089,73.8,7.103,10.776,0.415,0.926,45.4166666666667,-75.7,Ottawa
Chad,0.041,48.478,4.355,7.364,0.807,0.619,12.1,15.033333,N'Djamena
Chile,-0.044,70.0,6.172,10.071,0.83,0.882,-33.45,-70.666667,Santiago
China,-0.146,69.593,5.339,9.673,0.755,0.811,39.9166666666667,116.383333,Beijing
Colombia,-0.135,68.001,6.012,9.557,0.841,0.847,4.6,-74.083333,Bogota
Comoros,0.082,57.349,4.289,8.031,0.781,0.626,-11.7,43.233333,Moroni
Costa Rica,-0.126,71.4,7.069,9.88,0.809,0.891,9.93333333333333,-84.083333,San Jose
Croatia,-0.118,70.799,5.882,10.217,0.939,0.924,45.8,16.0,Zagreb
Cyprus,-0.015,73.898,6.223,10.576,0.844,0.802,35.1666666666667,33.366667,Nicosia
Czech Republic,-0.208,70.807,6.965,10.556,0.868,0.947,50.0833333333333,14.466667,Prague
Denmark,0.03,72.7,7.62,10.933,0.179,0.954,55.6666666666667,12.583333,Copenhagen
Dominican Republic,-0.133,66.102,5.545,9.802,0.714,0.853,18.4666666666667,-69.9,Santo Domingo
Ecuador,-0.124,68.8,5.764,9.313,0.843,0.821,-0.216666666666667,-78.5,Quito
Egypt,-0.182,61.998,4.283,9.367,0.795,0.75,30.05,31.25,Cairo
El Salvador,-0.11,66.402,6.061,9.054,0.688,0.762,13.7,-89.2,San Salvador
Estonia,-0.106,68.8,6.189,10.481,0.527,0.941,59.4333333333333,24.716667,Tallinn
Ethiopia,0.082,59.0,4.275,7.694,0.761,0.764,9.03333333333333,38.7,Addis Ababa
Finland,-0.098,72.0,7.842,10.775,0.186,0.954,60.1666666666667,24.933333,Helsinki
France,-0.147,74.0,6.69,10.704,0.571,0.942,48.8666666666667,2.333333,Paris
